resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
8012505,Ticino (TI),Italian,Female,Tertiary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,16.10778885916871,12.72164489814891,12.8189197766167,Medium,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012508,Aargau (AG),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,11.21660984388636,10.60103245313482,12.09499329796223,High,Medium,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,3-4 years VET
8012514,St. Gallen (SG),German,Female,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,4.719529984514024,3.497477076638445,,Medium,Medium,Basic/low requirements,3-4 years VET,3-4 years VET,
8012522,Graubünden (GR),German,Male,,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,No valid response,No valid response,22.28603775934398,,,Low,Low,Basic/low requirements,2 years VET,,
8012525,Vaud (VD),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,28.25447716630043,24.61173769141048,28.7966502419901,Medium,Medium,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
8012530,Schaffhausen (SH),German,Male,,Native (at least 1 parent born in Switzerland),Valid response,No valid response,not administered [wave],.0298797469399166,,,Medium,Low,Basic/low requirements,3-4 years VET,,
8012537,Berne (BE),German,Male,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,18.07461247680029,16.16243102935063,15.5704074653597,,Low,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012540,Lucerne (LU),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,6.540499140001333,5.492189397313481,5.4966543320577,Medium,Medium,High requirements,General baccalaureate,General baccalaureate,3-4 years VET
8012544,Vaud (VD),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,20.82055127363543,33.05581526405302,22.12437798241486,Low,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012545,Thurgau (TG),German,Male,Compulsory schooling only,First generation (respondent and parent(s) born abroad),Valid response,No valid response,No valid response,.4071277461452968,,,Low,Low,Basic/low requirements,2 years VET,,
8012549,Berne (BE),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,18.56737607064563,18.42395128006714,18.29855173267367,Medium,Medium,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012550,Nidwalden (NW),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,4.032880134113157,,,Low,Low,Basic/low requirements,Other intermediate solution,,
8012551,Glarus (GL),German,Male,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",No valid response,No valid response,Valid response,,,38.78744092850252,High,Low,Basic/low requirements,,,NET
8012552,Fribourg (FR),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.845833325831836,2.975635310935729,2.89513567427775,Medium,High,High requirements,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
8012555,Berne (BE),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,.019075975759825,,,Low,Medium,Basic/low requirements,General baccalaureate,,
8012556,Jura (JU),French,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,not administered [wave],2.297049033608029,,,High,Low,Advanced requirements & Alternative/non-assignable study programme,10th school year,,
8012559,Berne (BE),German,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,Valid response,18.08493681158369,,30.029600173788,High,Medium,Advanced requirements & Alternative/non-assignable study programme,General baccalaureate,,General baccalaureate
