t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;1;1;1;1;1;1;1;4;4;6;6;4;8;8;8;8;1;2;;2;1;;64;2.648909682;2.867308638;2.778938983;2.580616279;2.642348516;2.79945638;2.097758076;1.828137272;2.161642868
1;0;0;1;0;0;1;1;1;1;;;5;;;5;7;1;2;2;1;1;3;3;65;31.12107412;39.48440856;112.5335822;114.3633108;130.7097158;149.1849781;185.8619604;228.8893069;211.5096283
0;0;0;0;0;0;0;0;0;;;;;;;;;;2;1;1;2;2;3;66;33.12513299;;;;;;;;
1;1;1;0;1;0;1;0;0;2;3;5;;1;;7;;;1;1;2;2;1;1;67;26.409717;27.58163916;34.60449601;55.03206949;76.99714465;129.0095692;320.7766634;378.2486617;320.7685128
1;1;1;1;1;1;1;0;0;3;3;5;5;1;1;7;;;2;1;1;2;2;3;68;25.74959587;24.99152925;26.23498043;25.11223594;25.95119273;26.52472011;27.90261905;27.47819399;48.95731247
1;0;0;1;1;0;0;0;0;2;;;5;5;;;;;2;2;;2;2;2;69;5.156916231;5.674868367;6.529130948;8.50259893;8.054163014;11.45891664;15.90903237;35.19093303;76.3465516
1;1;1;1;1;1;1;1;1;4;4;6;6;1;1;7;1;1;2;2;;2;3;3;70;4.543039458;5.119443988;4.981133012;4.569060151;3.95449749;4.065357396;3.239957486;2.93785509;1.402816953
1;0;1;1;1;1;0;1;0;2;;3;3;2;3;;2;;2;2;2;1;1;2;71;6.80999642;12.37546029;16.28390818;14.59234687;15.5863489;16.26309158;12.76498409;32.26355666;122.3741103
1;1;1;1;1;1;1;1;0;4;4;3;5;5;5;1;7;;1;1;1;3;1;1;72;27.70322145;31.66106859;35.24366268;38.77325422;40.1657861;48.10365168;62.24570303;88.20997291;134.8995865
1;1;1;1;1;1;1;0;0;2;3;5;5;1;1;3;;;1;1;1;3;1;1;73;11.46654019;11.29233571;11.58222758;11.18119854;10.87164301;11.41982589;11.49478186;10.70467933;15.09153717
1;1;1;1;1;1;1;0;0;3;3;5;5;5;5;3;;;2;2;;2;2;2;74;4.38473729;5.083598982;5.140991089;4.609462255;3.910138406;4.230886097;3.318083979;3.3978941;3.774469285
1;0;1;1;1;0;0;0;0;4;;6;6;6;;;;;2;2;;2;;3;75;3.348790691;3.566699232;4.241129935;4.46083088;4.272246807;5.320438395;;;
0;0;0;0;0;0;0;0;0;;;;;;;;;;1;1;1;2;1;3;76;6.167514502;;;;;;;;
1;1;1;1;1;1;1;1;1;2;2;7;7;7;7;7;1;1;1;1;1;3;2;2;77;5.689573607;5.829442331;6.019958069;6.263379809;6.097588703;6.344947312;6.023613459;5.812397227;5.181695274
1;1;1;1;1;1;1;1;1;3;3;5;5;5;8;8;1;1;1;2;;2;2;2;78;3.391063998;3.305816431;3.073611974;3.080117371;2.851292395;2.364056814;1.742006149;3.193191752;1.755656384
0;0;0;0;0;0;0;0;0;;;;;;;;;;1;1;1;2;1;1;79;18.34594516;23.10479781;37.19892149;;;;;;
1;1;1;1;1;1;1;1;1;3;3;5;5;5;1;1;1;1;2;2;;;1;1;80;13.65209306;14.64820271;15.4730833;16.42001285;17.34321833;18.43627258;10.01449741;10.55937842;9.545315874
0;1;1;1;1;1;1;1;1;;3;5;5;5;3;1;1;1;2;2;2;2;3;3;81;6.7360226;10.20496903;8.410712167;6.613294262;6.768653994;6.670458438;6.224723476;6.849920588;8.012912831
1;1;1;1;1;0;1;0;0;4;4;6;8;8;;8;;;2;2;;2;1;2;82;2.361931802;2.397785728;1.842498165;1.792758401;1.177565554;1.415059745;1.016316345;1.762894002;3.295140281
1;1;0;0;1;1;1;1;1;1;1;;;2;2;2;2;2;2;1;2;1;1;1;83;12.1904255;19.68674118;47.35590453;104.5915892;139.2532562;155.5780736;186.4558263;336.4632073;271.7270007
1;1;1;0;0;0;0;0;0;3;3;5;;;;;;;2;2;;1;1;2;84;2.56587374;3.192851948;3.776300437;;;;;;
1;0;0;0;0;0;0;0;0;3;;;;;;;;;2;1;2;2;1;1;85;36.7074973;37.41958203;;;;;;;
1;1;1;0;0;0;0;0;0;3;1;3;;;;;;;1;2;;2;3;2;86;2.784387265;2.656445884;2.516295668;;;;;;
1;0;1;1;1;1;1;1;1;3;;5;3;5;5;1;1;1;2;2;;1;1;3;87;4.424659485;7.670174463;16.33142183;21.58195099;25.50423004;31.761668;32.93855522;58.11972363;62.37443075
1;1;1;1;1;1;1;1;1;3;3;5;5;3;8;8;8;1;2;1;1;3;3;3;88;7.713813947;7.415202983;7.766636892;7.278334031;6.911829654;7.064582693;6.448079834;5.768602347;4.891879698
1;1;1;1;0;0;0;0;0;3;3;5;5;;;;;;2;2;;2;;3;89;4.020804527;4.406517927;4.330920189;3.810684275;;;;;
1;1;1;1;1;1;0;0;1;4;4;6;8;3;8;;;8;1;2;1;3;1;2;90;17.76939382;16.58956399;15.70789621;14.52127275;13.98536447;16.01485717;15.59955762;35.6591387;102.9332571
1;1;1;1;1;1;1;1;1;4;4;6;6;8;8;8;1;3;2;2;;3;3;3;91;2.295675838;2.325636087;2.153198128;1.995530747;1.718936156;1.935063716;1.547117707;1.30060075;0.612692234
1;1;1;1;1;1;1;1;1;4;4;6;8;8;8;8;8;1;1;2;;3;2;2;92;1.438403865;1.300647978;1.159353167;1.159939073;1.053304776;0.858862317;0.65117196;1.155340161;0.58428137
1;1;1;1;1;1;1;1;1;4;4;6;6;4;8;8;3;3;2;2;;2;1;2;93;3.565771212;3.696314734;3.729757036;3.240483436;2.816509061;2.895466736;2.270777697;1.904293276;0.91986839
1;1;1;1;1;1;1;1;1;4;4;6;6;4;4;1;7;1;1;2;1;2;3;3;94;14.93349427;14.59273858;20.26190379;19.51630382;22.84327713;21.60855345;16.22676288;17.12697827;14.1629838
0;1;1;0;0;0;0;0;0;;3;5;;;;;;;2;2;;2;1;2;95;3.72882811;7.414096368;6.975678556;7.133898418;8.211940825;35.80238799;81.98842126;186.3414473;157.3914605
1;1;1;1;0;1;1;1;1;2;3;5;5;;3;1;7;8;2;1;1;2;2;3;96;10.49510609;10.93675598;11.99744582;12.6226596;12.4770223;25.69481976;28.36826539;30.34503782;28.04359955
1;1;1;1;1;1;1;1;0;3;3;5;5;5;3;1;1;;1;2;2;3;2;2;97;3.558470596;3.893132713;3.562691556;2.968233315;3.021540748;2.567452582;2.063226993;1.489897631;0.856537351
1;1;0;0;0;0;0;0;0;2;3;;;;;;;;1;1;1;2;2;2;98;8.016239122;8.06861135;8.634142215;14.39756088;;;;;
1;1;1;1;1;1;1;1;1;4;4;6;6;5;5;5;8;8;2;1;1;3;3;3;99;13.30214345;12.70494005;13.01426624;12.2474176;11.6414802;11.89875962;11.07342866;9.6866438;8.505143201
1;1;1;1;1;1;1;1;1;4;4;6;6;4;8;8;8;1;1;2;1;2;2;3;100;6.03390296;6.014933975;5.939671495;5.541167196;5.39427873;5.381499011;4.487124923;4.960066769;4.326436234
1;1;1;1;1;1;1;1;1;3;3;5;4;4;4;1;5;1;1;1;1;2;2;3;101;21.91116422;23.39951016;26.47098415;27.36029147;27.73384623;30.12071673;32.36740683;35.59698391;36.25261522
1;1;1;1;1;1;1;1;1;4;4;6;6;6;8;8;8;1;2;2;2;2;3;3;102;5.437508044;6.622367446;4.904597793;3.743844295;3.731384157;3.29425946;2.38543762;2.129202291;2.420967348
1;1;1;1;1;0;0;0;0;4;4;6;6;8;;;;;2;2;1;2;3;2;103;6.33985365;5.761137175;5.491382382;4.571324036;4.441303365;;;;
1;1;1;1;1;1;1;0;0;3;3;5;5;1;1;3;;;2;2;1;2;1;1;104;6.658193858;6.434267408;6.434422936;5.40591032;5.261925826;4.68027635;3.671841692;4.014482351;
1;1;1;1;1;1;1;1;1;2;3;5;5;5;8;8;8;1;2;2;1;2;2;3;105;92.37732554;85.70355717;84.09782279;70.7915161;67.15539254;59.73208401;45.7210141;49.46691735;42.90403739
1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1;2;1;1;2;106;11.30043338;17.94136306;28.82130503;63.30585033;65.26281104;104.5794107;154.9893792;193.5120188;253.8820503
